Frame Nr.,Time (sec.),"DI water, 400 SCCM","DI water, 300 SCCM"
1,0.0,0.00146753931,0.001410375081
2,0.1,0.001559280489,0.001459550771
3,0.2,0.001493390431,0.00145069545
4,0.30000000000000004,0.00167354871,0.00140479378
5,0.4,0.001637781118,0.00139962962
6,0.5,0.001648492946,0.001406258034
7,0.6000000000000001,0.001623079668,0.001385666405
8,0.7000000000000001,0.001638876592,0.001418493123
9,0.8,0.001689572494,0.001335037625
10,0.9,0.001731285447,0.001417814836
11,1.0,0.00156968955,0.001439677942
12,1.1,0.001557622186,0.001390453443
13,1.2000000000000002,0.001608857196,0.001444835361
14,1.3,0.001583200877,0.001445873974
15,1.4000000000000001,0.001521206595,0.001394731029
16,1.5,0.001538536176,0.001418949859
17,1.6,0.001566462771,0.00146703258
18,1.7000000000000002,0.001640743949,0.00145305755
19,1.8,0.001733410093,0.001419710151
20,1.9000000000000001,0.001649972267,0.001423162054
21,2.0,0.001679273893,0.00145793279
22,2.1,0.001616081428,0.001406566352
23,2.2,0.001619087639,0.00135675718
24,2.3000000000000003,0.001552317556,0.00137016066
25,2.4000000000000004,0.001600249883,0.001396770365
26,2.5,0.001585261129,0.001419121711
27,2.6,0.001660619648,0.001400077665
28,2.7,0.001614793488,0.001457805169
29,2.8000000000000003,0.001532764376,0.001463994302
30,2.9000000000000004,0.001612276589,0.001439411119
31,3.0,0.001555018742,0.00145209747
32,3.1,0.00161550912,0.001396957591
33,3.2,0.001554361791,0.001461052874
34,3.3000000000000003,0.001595391032,0.001385165828
35,3.4000000000000004,0.001726966642,0.001476125759
36,3.5,0.001638603108,0.001458694213
37,3.6,0.001651175755,0.001448968731
38,3.7,0.001615992058,0.001382045545
39,3.8000000000000003,0.001617546918,0.00142233663
40,3.9000000000000004,0.001546775603,0.001456146793
41,4.0,0.001652133477,0.00147519628
42,4.1000000000000005,0.001615146912,0.001410443195
43,4.2,0.00153964291,0.001450781482
44,4.3,0.001561702763,0.001408749174
45,4.4,0.001591783451,0.001427723022
46,4.5,0.001561881893,0.001387411275
47,4.6000000000000005,0.001609031682,0.001438256349
48,4.7,0.001491943868,0.001386989475
49,4.800000000000001,0.001513219755,0.001435107669
50,4.9,0.001496847167,0.001458491707
51,5.0,0.001561591861,0.001463367963
52,5.1000000000000005,0.001596549243,0.001561056488
53,5.2,0.001583016226,0.001465949269
54,5.300000000000001,0.001585923039,0.001431538298
55,5.4,0.001517516065,0.00149245806
56,5.5,0.001461466585,0.001481866899
57,5.6000000000000005,0.001631361292,0.001400874838
58,5.7,0.001635773563,0.001401477985
59,5.800000000000001,0.001636942785,0.001394751602
60,5.9,0.00165038914,0.001407156926
61,6.0,0.001598481229,0.001385265408
62,6.1000000000000005,0.001533381864,0.001413534775
63,6.2,0.001663181716,0.001354467489
64,6.300000000000001,0.001532715647,0.001369466221
65,6.4,0.001640651978,0.00140609051
66,6.5,0.001662591894,0.001357910839
67,6.6000000000000005,0.001640239986,0.001366310242
68,6.7,0.001782801033,0.001392078312
69,6.800000000000001,0.001699555345,0.00138482692
70,6.9,0.001696849491,0.001430064006
71,7.0,0.001681007414,0.001440558842
72,7.1000000000000005,0.001730322917,0.001422700915
73,7.2,0.001765286831,0.001452885536
74,7.300000000000001,0.001762144368,0.001448723882
75,7.4,0.00186237964,0.001392304801
76,7.5,0.001831036588,0.001412898159
77,7.6000000000000005,0.001897572967,0.001387559716
78,7.7,0.001875537051,0.001383174736
79,7.800000000000001,0.001832276493,0.001335592556
80,7.9,0.001896787258,0.001334948296
81,8.0,0.001827669986,0.001382150501
82,8.1,0.001798248954,0.001386954972
83,8.200000000000001,0.001770160963,0.001406598952
84,8.3,0.001743974242,0.001350102559
85,8.4,0.001760000085,0.001396630887
86,8.5,0.001727282125,0.001379688238
87,8.6,0.001668837297,0.001431191121
88,8.700000000000001,0.001722185844,0.001348089744
89,8.8,0.001657202471,0.001382926108
90,8.9,0.001675571957,0.00136977107
91,9.0,0.001811832733,0.001345055263
92,9.1,0.001836677426,0.001364609106
93,9.200000000000001,0.001654630042,0.001284765898
94,9.3,0.001725792347,0.001361323549
95,9.4,0.00171846559,0.001311837581
96,9.5,0.001723607184,0.001329483847
97,9.600000000000001,0.001807407401,0.001379633423
98,9.700000000000001,0.001728335134,0.001443675636
99,9.8,0.001805053002,0.001371120501
100,9.9,0.001741579485,0.001406522182
101,10.0,0.001725290255,0.001379667617
102,10.100000000000001,0.001718250143,0.001360677127
103,10.200000000000001,0.001667535029,0.001383652806
104,10.3,0.001650336163,0.001357181324
105,10.4,0.001646520755,0.001382983994
106,10.5,0.001715905513,0.001399257232
107,10.600000000000001,0.001726463427,0.001402193598
108,10.700000000000001,0.00177842096,0.001342779246
109,10.8,0.00178029999,0.001421745426
110,10.9,0.001767910451,0.001457820976
111,11.0,0.001785429664,0.001360439606
112,11.100000000000001,0.001708705896,0.001349107747
113,11.200000000000001,0.001758865857,0.001366355854
114,11.3,0.001710717103,0.001366421653
115,11.4,0.001696086718,0.001372872705
116,11.5,0.001676338938,0.001281537224
117,11.600000000000001,0.00174294015,0.001271803676
118,11.700000000000001,0.001633885527,0.001232355896
119,11.8,0.001758577443,0.001228991077
120,11.9,0.001696584861,0.001266910071
121,12.0,0.001673792601,0.001176052104
122,12.100000000000001,0.001737002096,0.00124056237
123,12.200000000000001,0.001719693828,0.001185753031
124,12.3,0.00170455973,0.001232179721
125,12.4,0.001643584977,0.001214548721
126,12.5,0.001802256434,0.001229392282
127,12.600000000000001,0.001758459101,0.001193633
128,12.700000000000001,0.001731343987,0.001201303824
129,12.8,0.001799165371,0.001197540109
130,12.9,0.00181063345,0.001159296564
131,13.0,0.001701903249,0.001136688761
132,13.100000000000001,0.001700356699,0.001152951637
133,13.200000000000001,0.001693055498,0.001138401936
134,13.3,0.001663167316,0.001167722971
135,13.4,0.001772442692,0.001180616247
136,13.5,0.001670615605,0.001150581427
137,13.600000000000001,0.001707760125,0.001142663706
138,13.700000000000001,0.001738099995,0.001135909293
139,13.8,0.001625015246,0.001209679774
140,13.9,0.001777595673,0.00117973343
141,14.0,0.001750834849,0.001124087628
142,14.100000000000001,0.00175216004,0.001157017756
